First Letter,Second Letter,% probability Second Letter follows First Letter
_,a,11.291625661
_,b,4.682943604
_,c,4.386648429
_,d,3.163016734
_,e,2.200153398
_,f,3.871956648
_,g,1.928962041
_,h,6.350447030
_,i,6.908207735
_,j,0.551143464
_,k,0.594179348
_,l,2.585465265
_,m,3.989545087
_,n,2.291781026
_,o,6.623767553
_,p,3.366188256
_,q,0.201526176
_,r,2.353531695
_,s,7.090602668
_,t,15.785984051
_,u,1.120628282
_,v,0.626072267
_,w,6.665903415
_,x,0.011704648
_,y,1.331213337
_,z,0.026802181
a,_,7.837954860
a,a,0.021157184
a,b,2.048922926
a,c,3.850604671
a,d,4.560407024
a,e,0.079607242
a,f,0.799861138
a,g,1.887219404
a,h,0.188354101
a,i,4.013833503
a,j,0.081953216
a,k,1.352238382
a,l,8.257176723
a,m,2.754944389
a,n,19.977811897
a,o,0.031847879
a,p,1.738771062
a,q,0.015714325
a,r,10.243649478
a,s,9.376965803
a,t,13.265338094
a,u,1.234742521
a,v,2.413851434
a,w,0.831085512
a,x,0.125490395
a,y,2.841003060
a,z,0.169493779
b,_,1.284774988
b,a,8.465960185
b,b,0.896109911
b,c,0.062846846
b,d,0.074747148
b,e,31.185721899
b,f,0.005265456
b,g,0.005503611
b,h,0.025069525
b,i,4.762521236
b,j,0.765757314
b,k,0.002749945
b,l,11.352992971
b,m,0.128521781
b,n,0.041829676
b,o,11.488558927
b,p,0.008651721
b,q,0.000226991
b,r,6.742879708
b,s,1.693962319
b,t,0.766776915
b,u,12.459657862
b,v,0.150059915
b,w,0.029159091
b,x,0.000881917
b,y,7.597346002
b,z,0.001466141
c,_,2.417544430
c,a,13.187710080
c,b,0.015648039
c,c,1.759728974
c,d,0.031463886
c,e,15.821029643
c,f,0.005279640
c,g,0.021718471
c,h,15.978055408
c,i,5.719815567
c,j,0.000446787
c,k,5.397396741
c,l,3.802033008
c,m,0.013584008
c,n,0.024088751
c,o,18.869351564
c,p,0.007907923
c,q,0.145224710
c,r,3.963759477
c,s,0.355487370
c,t,8.239315572
c,u,3.352206421
c,v,0.002305254
c,w,0.003031021
c,x,0.000618790
c,y,0.845677927
c,z,0.019570537
d,_,59.443016940
d,a,3.077552602
d,b,0.038271063
d,c,0.036323651
d,d,0.962371941
d,e,12.848423006
d,f,0.085310998
d,g,0.584791886
d,h,0.060641478
d,i,7.466592157
d,j,0.057472106
d,k,0.017417754
d,l,0.853919563
d,m,0.351518936
d,n,0.168474602
d,o,6.050902100
d,p,0.019903049
d,q,0.018515587
d,r,1.938188199
d,s,2.425194339
d,t,0.044226393
d,u,1.749438167
d,v,0.313541640
d,w,0.174571988
d,x,0.000100681
d,y,1.210181523
d,z,0.003137651
e,_,35.862676587
e,a,4.795099192
e,b,0.163774879
e,c,2.150118937
e,d,7.855197252
e,e,2.873208399
e,f,0.919987320
e,g,0.602777926
e,h,0.167810961
e,i,1.111812623
e,j,0.027259748
e,k,0.166228228
e,l,3.389410645
e,m,2.058324145
e,n,8.446121915
e,o,0.373730621
e,p,1.010722668
e,q,0.176879166
e,r,13.146493322
e,s,7.147902491
e,t,2.662056305
e,u,0.131919465
e,v,1.588198013
e,w,0.817436381
e,x,0.985478434
e,y,1.328093781
e,z,0.041280596
f,_,38.726416771
f,a,6.532289394
f,b,0.015660598
f,c,0.014581600
f,d,0.008652152
f,e,8.054664864
f,f,4.692570014
f,g,0.014790845
f,h,0.007270632
f,i,8.379055035
f,j,0.001018493
f,k,0.004999189
f,l,2.513530963
f,m,0.014387481
f,n,0.008768120
f,o,16.125585287
f,p,0.003335314
f,q,0.000100841
f,r,7.688103013
f,s,0.161784159
f,t,3.380979836
f,u,3.422112855
f,v,0.000675634
f,w,0.014591684
f,x,0.000388238
f,y,0.213533207
f,z,0.000153782
g,_,34.324167869
g,a,6.304329462
g,b,0.025345719
g,c,0.003545774
g,d,0.075152142
g,e,14.235863816
g,f,0.029976352
g,g,1.233329901
g,h,12.327851877
g,i,5.438529622
g,j,0.000947824
g,k,0.004833330
g,l,2.816246875
g,m,0.212663661
g,n,1.859561590
g,o,7.522474199
g,p,0.010032086
g,q,0.000559559
g,r,7.233268064
g,s,2.258606789
g,t,0.610098702
g,u,2.936192251
g,v,0.002132603
g,w,0.051339499
g,x,0.000145599
g,y,0.478885072
g,z,0.003919765
h,_,10.051430178
h,a,15.622513902
h,b,0.074894294
h,c,0.012803087
h,d,0.038411194
h,e,47.415049018
h,f,0.045861791
h,g,0.002320282
h,h,0.011925012
h,i,12.816390888
h,j,0.000521629
h,k,0.004890752
h,l,0.154935325
h,m,0.140297843
h,n,0.231108576
h,o,7.478549588
h,p,0.005757236
h,q,0.004521748
h,r,1.182774795
h,s,0.199303713
h,t,2.650969377
h,u,1.177560440
h,v,0.003401213
h,w,0.058536404
h,x,4.346906097e-05
h,y,0.614922030
h,z,0.000306215
i,_,4.048683517
i,a,2.085861413
i,b,0.741631846
i,c,5.893770010
i,d,3.997332333
i,e,3.856866817
i,f,2.204253788
i,g,3.004316544
i,h,0.012589884
i,i,0.088337269
i,j,0.007946201
i,k,0.792776572
i,l,5.166604053
i,m,3.790532786
i,n,26.104937854
i,o,5.672912614
i,p,0.829470039
i,q,0.060832003
i,r,3.732140892
i,s,11.908714704
i,t,12.788141928
i,u,0.123917163
i,v,2.374706131
i,w,0.006437593
i,x,0.201082932
i,y,0.002939997
i,z,0.502263119
j,_,0.177940611
j,a,13.907323557
j,b,0.007689679
j,c,0.027309141
j,d,0.011929783
j,e,20.193887711
j,f,0.013546771
j,g,0.004491635
j,h,0.010959589
j,i,2.701664528
j,j,0.015882421
j,k,0.006180490
j,l,0.014876295
j,m,0.005318096
j,n,0.021847312
j,o,27.838973809
j,p,0.019116398
j,q,0.000215598
j,r,0.227276729
j,s,0.012468779
j,t,0.012181314
j,u,34.733022608
j,v,0.003808906
j,w,0.001185792
j,x,0.000251532
j,y,0.028746464
j,z,0.001904453
k,_,31.292068167
k,a,1.879825909
k,b,0.100577364
k,c,0.022386838
k,d,0.049334233
k,e,32.900518656
k,f,0.269904751
k,g,0.116494747
k,h,0.262670252
k,i,13.255845460
k,j,0.010406092
k,k,0.047915558
k,l,1.802192454
